board_size,game_time,agent_x_name,agent_o_name,agent_x_time,agent_o_time,winner
3,0.0002868175506591,RLAgent,Random Agent,1.9483400137687568e-05,7.092952728271484e-06,Draw
3,0.0002260208129882,RLAgent,Random Agent,2.0072750203325995e-05,6.993611653645833e-06,RLAgent
3,0.0002129077911376,RLAgent,Random Agent,1.937475008162437e-05,6.2783559163411456e-06,RLAgent
3,0.0001752376556396,RLAgent,Random Agent,2.2625000080248963e-05,6.4373016357421875e-06,RLAgent
3,0.0002260208129882,RLAgent,Random Agent,1.9874999907187885e-05,7.2320302327473956e-06,RLAgent
3,0.0002810955047607,RLAgent,Random Agent,1.8525199811847416e-05,7.569789886474609e-06,RLAgent
3,0.0002238750457763,RLAgent,Random Agent,1.976025009753357e-05,6.67572021484375e-06,RLAgent
3,0.0001792907714843,RLAgent,Random Agent,2.2513666711650632e-05,7.033348083496094e-06,RLAgent
3,0.0001749992370605,RLAgent,Random Agent,2.2555666570648707e-05,6.318092346191406e-06,RLAgent
3,0.0001730918884277,RLAgent,Random Agent,2.168066688075972e-05,7.510185241699219e-06,RLAgent
3,0.0002341270446777,RLAgent,Random Agent,2.084349966935406e-05,6.834665934244792e-06,RLAgent
3,0.0002329349517822,RLAgent,Random Agent,2.06872500712052e-05,7.0730845133463544e-06,RLAgent
3,0.0002508163452148,RLAgent,Random Agent,1.714999998512212e-05,6.258487701416016e-06,RLAgent
3,0.0002727508544921,RLAgent,Random Agent,1.894160013762303e-05,6.556510925292969e-06,RLAgent
3,0.0002260208129882,RLAgent,Random Agent,1.9739749859581938e-05,6.9141387939453125e-06,RLAgent
3,0.0001752376556396,RLAgent,Random Agent,2.2416666979552247e-05,7.62939453125e-06,RLAgent
3,0.0001568794250488,RLAgent,Random Agent,1.943066611905427e-05,6.67572021484375e-06,RLAgent
3,0.0001778602600097,RLAgent,Random Agent,2.3236000136724517e-05,7.510185241699219e-06,RLAgent
3,0.0001900196075439,RLAgent,Random Agent,2.4541666183116224e-05,8.463859558105469e-06,RLAgent
3,0.0001571178436279,RLAgent,Random Agent,1.9750333194679115e-05,6.4373016357421875e-06,RLAgent
3,0.0002088546752929,RLAgent,Random Agent,1.8416749981042813e-05,6.4373016357421875e-06,RLAgent
3,0.0002229213714599,RLAgent,Random Agent,2.0635249939005007e-05,6.67572021484375e-06,RLAgent
3,0.0002796649932861,RLAgent,Random Agent,1.9150200023432264e-05,6.735324859619141e-06,Draw
3,0.0001709461212158,RLAgent,Random Agent,2.163866671859675e-05,7.033348083496094e-06,RLAgent
3,0.0002179145812988,RLAgent,Random Agent,1.9104000102743157e-05,6.357828776041667e-06,RLAgent
3,0.0001859664916992,RLAgent,Random Agent,2.4403000073410418e-05,7.390975952148437e-06,RLAgent
3,0.0001590251922607,RLAgent,Random Agent,1.968033302546246e-05,6.556510925292969e-06,RLAgent
3,0.0001769065856933,RLAgent,Random Agent,2.2027999875717796e-05,6.9141387939453125e-06,RLAgent
3,0.0002880096435546,RLAgent,Random Agent,1.959179990080884e-05,6.616115570068359e-06,Draw
3,0.0001599788665771,RLAgent,Random Agent,2.0291666866493568e-05,6.079673767089844e-06,RLAgent
3,0.0002312660217285,RLAgent,Random Agent,2.1114499986651936e-05,6.7551930745442706e-06,RLAgent
3,0.0002281665802001,RLAgent,Random Agent,1.99897497168422e-05,6.9141387939453125e-06,RLAgent
3,0.0002558231353759,RLAgent,Random Agent,1.8324800112168305e-05,6.496906280517578e-06,RLAgent
3,0.0002229213714599,RLAgent,Random Agent,1.9499999780236976e-05,6.9141387939453125e-06,RLAgent
3,0.0002391338348388,RLAgent,Random Agent,2.1646000050168368e-05,6.7551930745442706e-06,RLAgent
3,0.0001699924468994,RLAgent,Random Agent,2.1333666760862496e-05,7.033348083496094e-06,RLAgent
3,0.0001780986785888,RLAgent,Random Agent,2.2930666697599616e-05,7.033348083496094e-06,RLAgent
3,0.0001561641693115,RLAgent,Random Agent,1.994433326520569e-05,6.318092346191406e-06,RLAgent
3,0.0002720355987548,RLAgent,Random Agent,2.028299950325163e-05,6.258487701416016e-06,Draw
3,0.0002210140228271,RLAgent,Random Agent,2.030199993896531e-05,7.311503092447917e-06,RLAgent
3,0.0002319812774658,RLAgent,Random Agent,1.984374989660864e-05,6.834665934244792e-06,RLAgent
3,0.0002329349517822,RLAgent,Random Agent,2.126049980688549e-05,7.311503092447917e-06,RLAgent
3,0.0001718997955322,RLAgent,Random Agent,2.1846999819293465e-05,7.510185241699219e-06,RLAgent
3,0.0002551078796386,RLAgent,Random Agent,1.7258200205105823e-05,5.841255187988281e-06,RLAgent
3,0.0002720355987548,RLAgent,Random Agent,1.864159985416336e-05,6.556510925292969e-06,RLAgent
3,0.0002245903015136,RLAgent,Random Agent,2.011449964811618e-05,6.5962473551432294e-06,RLAgent
3,0.0002229213714599,RLAgent,Random Agent,2.0010500293210495e-05,6.5962473551432294e-06,RLAgent
3,0.0002210140228271,RLAgent,Random Agent,1.9885249912476866e-05,7.0730845133463544e-06,RLAgent
3,0.0002319812774658,RLAgent,Random Agent,2.161475003958913e-05,6.67572021484375e-06,RLAgent
3,0.000227928161621,RLAgent,Random Agent,1.971899996533466e-05,6.7551930745442706e-06,RLAgent
3,0.0001721382141113,RLAgent,Random Agent,2.1749999784030177e-05,6.079673767089844e-06,RLAgent
3,0.0002319812774658,RLAgent,Random Agent,2.1562500023719625e-05,6.5962473551432294e-06,RLAgent
3,0.0002112388610839,RLAgent,Random Agent,1.8218750028609065e-05,6.357828776041667e-06,RLAgent
3,0.0002698898315429,RLAgent,Random Agent,1.806660002330318e-05,6.258487701416016e-06,RLAgent
3,0.0002088546752929,RLAgent,Random Agent,1.9042000076296972e-05,5.9604644775390625e-06,RLAgent
3,0.0002310276031494,RLAgent,Random Agent,2.1354499494918855e-05,7.390975952148437e-06,RLAgent
3,0.0001726150512695,RLAgent,Random Agent,2.1471999995507456e-05,7.033348083496094e-06,RLAgent
3,0.0002212524414062,RLAgent,Random Agent,2.000000017687853e-05,7.0730845133463544e-06,RLAgent
3,0.0002923011779785,RLAgent,Random Agent,2.1049800307082477e-05,7.152557373046875e-06,RLAgent
3,0.0002927780151367,RLAgent,Random Agent,2.074180029012496e-05,7.033348083496094e-06,Draw
3,0.0002882480621337,RLAgent,Random Agent,1.9208400408388117e-05,7.569789886474609e-06,Draw
3,0.0002131462097167,RLAgent,Random Agent,1.885425012915221e-05,6.357828776041667e-06,RLAgent
3,0.0001718997955322,RLAgent,Random Agent,2.1833333751904625e-05,6.9141387939453125e-06,RLAgent
3,0.0002391338348388,RLAgent,Random Agent,2.215624999735155e-05,7.0730845133463544e-06,RLAgent
3,0.000256061553955,RLAgent,Random Agent,1.7800000023271423e-05,6.020069122314453e-06,RLAgent
3,0.000206708908081,RLAgent,Random Agent,1.817700012907153e-05,5.9604644775390625e-06,RLAgent
3,0.0001730918884277,RLAgent,Random Agent,2.12499999179272e-05,6.556510925292969e-06,RLAgent
3,0.0002281665802001,RLAgent,Random Agent,2.051024989668804e-05,6.2783559163411456e-06,RLAgent
3,0.0002219676971435,RLAgent,Random Agent,1.9447749764367472e-05,6.5962473551432294e-06,RLAgent
3,0.0002508163452148,RLAgent,Random Agent,2.069800007120648e-05,6.735324859619141e-06,Random Agent
3,0.0002319812774658,RLAgent,Random Agent,2.0979249939045985e-05,6.5962473551432294e-06,RLAgent
3,0.0002238750457763,RLAgent,Random Agent,1.9666500065795844e-05,6.993611653645833e-06,RLAgent
3,0.0002272129058837,RLAgent,Random Agent,2.015599989135808e-05,7.390975952148437e-06,RLAgent
